Restaurant Name,cuisine,location,avg_price,price_norm
house of eggs,egg cuisine,gahana pokhari,501.038961038961,0.9918585683455449
hukum darbar,japanese multicuisine,kamalpokhari,607.0542635658915,0.9900790899790625
hungry heart cloud kitchen,multi cuisine,kalopul,335.15384615384613,0.9946429680144938
hungry heroes,multi cuisine,buddha park soyambhu,337.92035398230087,0.9945965318801424
hungry nawab,indian,baluwatar,765.625,0.9874174629467763
hyatt place kathmandu,indian cuisine,tahachal red cross road soalteemode,,
hyderabad house,indian,bhatbhateni,833.3888888888889,0.9862800387124224
hyderabad house  dhobighat,indian,dhobighat,848.1845238095239,0.9860316923734309
hyderabadi dum biryani  lassi house,indian halal,thamel,722.9032258064516,0.988134552566323
ibs family restaurant  thakali khana dhido ghar,thakali set  multi cuisine,imadol mahalaxmi,409.20377358490566,0.9934000319405275
ilive burger and barbeque,fast food,nakhipot sumnima marga  14,516.9512195121952,0.9915914793589544
imago dei gallery cafe,multi cuisine,pani pokhari,832.7027027027027,0.9862915564220794
impasto pizzeria,italian,near kl tower chabahil,451.3225806451613,0.9926930631897972
indian tadka  kupondole,multi cuisine  indian,kupondole,480.63440860215053,0.99220106097419
indian tadka mid baneswor,multi cuisine,maitri tole mid baneshwor,470.340206185567,0.9923738502797325
italian bakery,bakery,chabahil,852.9032258064516,0.9859524884479478
izakaya hokkaido,japanese,lazimpat,1081.8055555555557,0.9821103379836555
jasper restaurant,multi cuisine,tridevi marg thamel,478.2258064516129,0.992241489622868
java zone  bistro,nepali tibetan,tridevi sadak thamel,368.0534351145038,0.9940907448407988
jazz upstairs,nepali,lazimpat,355.8536585365854,0.9942955194155901
jetha foods,multi cuisine,dhobichaur,297.39090909090913,0.9952768230142591
jhakas restaurant,multi cuisine fast food,hattisar,411.4927536231884,0.9933616111619952
jhamel beats,multi cuisine,jhamsikhel,400.5970149253731,0.9935444973193467
jhamsikhel garden restaurant,multi cuisine,jhamsikhel garden restaurant,212.125,0.9967080205584739
jholpattey restaurant,multi cuisine,new baneshwor,309.65346534653463,0.9950709946757594
jj bistro,multi cuisine,mitrapark,262.45454545454544,0.9958632336720854
juice mandala,fastfood  juices,pulchowk,395.1020408163265,0.9936367310565372
julies cake and pastries,bakery,kandevtasthan kupondole,1950.0,0.9675375999452331
julies cake and pastries  nakhu,bakery,nakhu,2020.8333333333333,0.9663486547525286
just rent,multi cuisine,lokanthali manohara town planning,439.0289855072464,0.992899412519307
just rent  new road,multi cuisine,new road maha baudha,401.5,0.9935293406168023
kalimati sekuwa corner  family restaurant,nepali sekuwa,kalimati,334.02777777777777,0.9946618691944803
karara kitchen  wraps,multi cuisine,bhimsengola old baneshwor,423.14102564102564,0.9931660936511398
karchulo kitchen,multi cuisine,ratopul,248.5612244897959,0.9960964345733335
kathmandu height boutique hotel,multi cuisine,chabahil,335.87142857142857,0.9946309233156831
kathmandu marriott,bakery indian and continental,naxal kathmandu,1408.6813186813188,0.9766236927999383
kathway restaurant,multi cuisine,sinamangal,363.2972972972973,0.9941705771305909
katiya house,multi cuisine asian fusion,dilli bazar kathmandu,317.14912280701753,0.9949451792512353
kaveri spicy heaven restaurant  bar,multi cuisine,basundhara,396.412213740458,0.993614739661717
kebab village restaurant and bar,multi cuisine  indian  kebab,tangal,415.4861971830986,0.9932945807781426
